sample_name	barcode	center_name	center_project_name	experiment_design_description	instrument_model	library_construction_protocol	pcr_primers	platform	qiita_prep_id	run_center	run_prefix	sequencing_meth	sequencing_method	target_gene	target_subfragment
16076.d0.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d0.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d0.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d0.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d0.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d0.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d1.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d1.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d1.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d1.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d1.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d1.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d10.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d10.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d10.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d10.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d10.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d10.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d11.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d11.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d11.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d11.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d11.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d11.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d12.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d12.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d12.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d12.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d12.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d12.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d13.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d13.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d13.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d13.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d13.3	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d13.3	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d14.1	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE250	341F/806R	Illumina	18661	novogene	d14.1	Sequencing by synthesis	16S	16S rRNA	V3-V4
16076.d14.2	not provided	U Auburn	igg-shelflife	longitudinal ground beef	Illumina NovaSeq X	PE251	341F/806R	Illumina	18661	novogene	d14.2	Sequencing by synthesis	16S	16S rRNA	V3-V4
